선수명,팀명,년도,타율,경기,타수,득점,홈런,출루율,장타율,출루율+장타율,득점권타율,추정득점,포지션,수비 승리 기여도,수비이닝 합계,도루시도,도루허용,도루성공률
이명기,NC,2020,0.306,136,477,82,2,0.374,0.369,0.743,0.311,67.8,"['좌익수', '중견수']",-0.23149999999999998,875,19.0,12.0,63.2
김형준,NC,2020,0.306,44,72,12,3,0.390,0.444,0.834,0.25,12.4,['포수'],0.067,164 1/3,0.0,0.0,-
모창민,NC,2020,0.301,62,136,10,2,0.340,0.449,0.789,0.282,18.9,['1루수'],-0.08,146 2/3,0.0,0.0,-
김찬형,NC,2020,0.297,56,64,10,0,0.343,0.391,0.734,0.316,9.1,"['유격수', '3루수']",-0.3185,190 2/3,4.0,3.0,75.0
김태군,NC,2020,0.292,80,113,16,1,0.347,0.372,0.719,0.323,14.4,['포수'],0.855,335 1/3,0.0,0.0,-
알테어,NC,2020,0.278,136,482,90,31,0.352,0.541,0.893,0.333,92.8,['중견수'],-1.148,1094 2/3,25.0,22.0,88.0
최정원,NC,2020,0.275,49,40,18,0,0.383,0.400,0.783,0.222,6.8,"['2루수', '좌익수', '3루수']",-0.030000000000000006,100,4.0,4.0,100
노진혁,NC,2020,0.274,132,427,70,20,0.356,0.480,0.836,0.351,69.0,"['유격수', '3루수', '1루수']",0.5393333333333333,1005,4.0,0.0,0.0
권희동,NC,2020,0.260,123,346,67,12,0.379,0.410,0.789,0.286,60.1,"['우익수', '좌익수', '중견수']",0.042333333333333334,784,3.0,3.0,100
이원재,NC,2020,0.258,73,132,15,4,0.313,0.417,0.730,0.242,17.1,['1루수'],-0.031,282 1/3,1.0,1.0,100
윤수강,NC,2020,0.250,4,4,0,0,0.250,0.250,0.500,0.0,0.2,['포수'],-0.045,5,0.0,0.0,-
김성욱,NC,2020,0.221,104,195,32,8,0.294,0.374,0.668,0.297,25.2,"['우익수', '중견수', '좌익수']",0.044333333333333336,471 2/3,17.0,12.0,70.6
김준완,NC,2020,0.215,45,65,8,1,0.320,0.277,0.597,0.158,5.8,"['우익수', '중견수', '좌익수']",0.033666666666666664,176,0.0,0.0,-
지석훈,NC,2020,0.207,87,121,22,1,0.300,0.298,0.598,0.214,11.6,"['3루수', '2루수', '유격수']",0.20925,382 2/3,1.0,1.0,100
도태훈,NC,2020,0.182,11,11,0,0,0.308,0.182,0.490,0.333,0.8,"['3루수', '1루수']",0.0635,32,0.0,0.0,-
박준영,NC,2020,0.152,32,46,4,0,0.235,0.239,0.474,0.231,1.9,"['유격수', '3루수']",-0.15849999999999997,104,1.0,1.0,100
이상호,NC,2020,0.131,82,61,18,0,0.172,0.148,0.320,0.267,-0.5,"['2루수', '1루수', '3루수']",0.0005000000000000039,206,10.0,6.0,60.0
강동연,NC,2020,-,3,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
김건태,NC,2020,-,5,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
김진성,NC,2020,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
박시원,NC,2020,0.000,1,1,0,0,0.000,0.000,0.000,0.0,-0.1,0,0.0,0,0.0,0.0,-
배민서,NC,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
배재환,NC,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
서호철,NC,2020,0.000,2,8,0,0,0.000,0.000,0.000,0.0,-0.7,['3루수'],-0.009,10,0.0,0.0,-
손정욱,NC,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
송명기,NC,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
원종현,NC,2020,-,4,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
유영준,NC,2020,0.000,4,3,0,0,0.000,0.000,0.000,0.0,-0.3,"['3루수', '2루수']",-0.009500000000000001,10,0.0,0.0,-
홍성무,NC,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
페르난데스,두산,2020,0.340,144,586,104,21,0.404,0.497,0.901,0.327,108.6,['1루수'],0.197,191 2/3,1.0,0.0,0.0
허경민,두산,2020,0.332,117,437,70,7,0.382,0.442,0.824,0.375,71.6,"['3루수', '유격수']",0.5505,987,20.0,14.0,70.0
오재일,두산,2020,0.312,127,471,62,16,0.390,0.482,0.872,0.376,82.7,['1루수'],-1.551,927 1/3,3.0,2.0,66.7
최주환,두산,2020,0.306,140,509,63,16,0.366,0.473,0.839,0.349,88.1,"['2루수', '3루수', '1루수']",0.12966666666666662,1059,4.0,2.0,50.0
박건우,두산,2020,0.304,129,487,103,14,0.369,0.472,0.841,0.28,83.3,"['우익수', '중견수']",-0.2185,964,10.0,8.0,80.0
정수빈,두산,2020,0.298,141,490,84,5,0.368,0.396,0.764,0.265,72.7,['중견수'],0.21,1162 2/3,21.0,15.0,71.4
최용제,두산,2020,0.295,28,44,9,0,0.354,0.341,0.695,0.353,4.8,"['포수', '1루수']",-0.0415,116 1/3,0.0,0.0,-
김재호,두산,2020,0.289,120,402,48,2,0.362,0.346,0.708,0.252,50.3,['유격수'],0.461,961 2/3,8.0,6.0,75.0
안권수,두산,2020,0.270,68,37,10,0,0.300,0.270,0.570,0.091,3.3,"['좌익수', '우익수', '중견수']",-0.01,140,3.0,2.0,66.7
박세혁,두산,2020,0.269,124,360,47,4,0.348,0.364,0.712,0.298,49.6,['포수'],0.359,880 2/3,8.0,5.0,62.5
김재환,두산,2020,0.266,140,516,82,30,0.373,0.494,0.867,0.278,96.7,['좌익수'],-1.593,1014 2/3,6.0,6.0,100
조수행,두산,2020,0.263,44,38,12,0,0.300,0.263,0.563,0.4,3.0,"['우익수', '중견수']",-0.07899999999999999,118 2/3,5.0,3.0,60.0
권민석,두산,2020,0.260,55,50,6,0,0.291,0.300,0.591,0.357,5.5,"['3루수', '유격수', '1루수']",-0.25533333333333336,164 2/3,1.0,1.0,100
이유찬,두산,2020,0.258,101,89,30,0,0.368,0.303,0.671,0.219,12.6,"['3루수', '2루수', '유격수']",0.02266666666666667,279 2/3,17.0,13.0,76.5
신성현,두산,2020,0.250,9,4,2,0,0.571,0.500,1.071,0.0,1.4,['1루수'],-0.054,10,0.0,0.0,-
장승현,두산,2020,0.250,23,20,5,0,0.318,0.400,0.718,0.286,1.7,['포수'],0.046,62 1/3,0.0,0.0,-
서예일,두산,2020,0.240,40,25,4,0,0.310,0.320,0.630,0.0,3.1,"['2루수', '3루수', '유격수']",-0.027000000000000007,97 2/3,0.0,0.0,-
국해성,두산,2020,0.233,46,86,10,3,0.287,0.349,0.636,0.296,8.6,"['우익수', '좌익수', '1루수']",-0.19066666666666668,166,2.0,1.0,50.0
오재원,두산,2020,0.232,85,155,25,5,0.301,0.387,0.688,0.214,19.0,"['2루수', '1루수']",-0.1145,367 2/3,15.0,10.0,66.7
양찬열,두산,2020,0.227,17,22,5,0,0.346,0.227,0.573,0.4,2.3,"['우익수', '좌익수']",0.041,48 2/3,0.0,0.0,-
김인태,두산,2020,0.202,77,84,15,1,0.370,0.298,0.668,0.2,11.6,"['좌익수', '우익수']",-0.106,173 2/3,0.0,0.0,-
백동훈,두산,2020,0.188,27,16,5,0,0.316,0.250,0.566,0.0,1.5,"['우익수', '중견수', '좌익수']",0.041,56,0.0,0.0,-
정상호,두산,2020,0.163,42,86,3,0,0.180,0.233,0.413,0.154,1.3,['포수'],-0.146,223 1/3,0.0,0.0,-
권휘,두산,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
김강률,두산,2020,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
김민규,두산,2020,-,3,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
박지훈,두산,2020,0.000,10,2,1,0,0.000,0.000,0.000,0.0,-0.2,['2루수'],0.001,1,0.0,0.0,-
오명진,두산,2020,0.000,5,4,0,0,0.000,0.000,0.000,0.0,-0.4,['2루수'],-0.007,4,0.0,0.0,-
윤명준,두산,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
이승민,두산,2020,0.000,3,1,1,0,0.000,0.000,0.000,0.0,-0.1,['포수'],-0.028,2,0.0,0.0,-
이영하,두산,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
이형범,두산,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
조제영,두산,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
함덕주,두산,2020,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
홍건희,두산,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
로하스,KT,2020,0.349,142,550,116,47,0.417,0.680,1.097,0.351,137.9,"['우익수', '좌익수']",0.1325,890,1.0,0.0,0.0
강백호,KT,2020,0.330,129,500,95,23,0.411,0.544,0.955,0.32,104.2,"['1루수', '우익수']",-0.231,1081,9.0,7.0,77.8
황재균,KT,2020,0.312,134,541,108,21,0.370,0.512,0.882,0.324,95.3,"['3루수', '1루수']",0.41350000000000003,1125,17.0,11.0,64.7
조용호,KT,2020,0.296,132,409,73,0,0.392,0.333,0.725,0.317,59.5,"['좌익수', '우익수', '중견수']",0.005666666666666668,720,15.0,12.0,80.0
배정대,KT,2020,0.289,144,533,88,13,0.372,0.420,0.792,0.277,84.1,['중견수'],1.009,1221 1/3,35.0,22.0,62.9
박경수,KT,2020,0.281,119,324,33,13,0.381,0.454,0.835,0.268,55.8,['2루수'],0.537,746 1/3,1.0,0.0,0.0
유한준,KT,2020,0.280,119,386,48,11,0.347,0.409,0.756,0.309,53.2,"['우익수', '좌익수']",0.008999999999999998,129 2/3,0.0,0.0,-
장성우,KT,2020,0.278,130,400,39,13,0.337,0.413,0.750,0.31,54.8,['포수'],2.289,952,0.0,0.0,-
허도환,KT,2020,0.264,52,53,2,0,0.361,0.283,0.644,0.333,5.6,['포수'],-0.268,151 1/3,0.0,0.0,-
박승욱,KT,2020,0.264,97,110,23,1,0.349,0.355,0.704,0.208,15.4,"['2루수', '1루수', '유격수']",-0.182,333 2/3,6.0,5.0,83.3
문상철,KT,2020,0.260,74,154,24,8,0.314,0.461,0.775,0.191,22.1,"['1루수', '좌익수']",-0.0695,235 1/3,1.0,0.0,0.0
김민혁,KT,2020,0.239,108,222,35,5,0.312,0.347,0.659,0.21,25.1,"['좌익수', '우익수', '중견수']",-0.011333333333333334,399,12.0,8.0,66.7
심우준,KT,2020,0.235,144,476,58,3,0.291,0.300,0.591,0.258,46.0,['유격수'],0.938,1157,46.0,35.0,76.1
강민국,KT,2020,0.224,81,107,16,0,0.272,0.252,0.524,0.357,7.3,"['2루수', '유격수', '3루수']",-0.077,315 2/3,1.0,0.0,0.0
천성호,KT,2020,0.203,66,69,9,0,0.286,0.246,0.532,0.167,5.2,"['2루수', '3루수', '유격수']",-0.082,181 1/3,2.0,1.0,50.0
강현우,KT,2020,0.200,26,30,2,1,0.250,0.367,0.617,0.286,2.4,['포수'],-0.366,81 1/3,0.0,0.0,-
송민섭,KT,2020,0.195,114,41,21,1,0.292,0.341,0.633,0.1,4.9,"['좌익수', '우익수', '중견수']",0.142,217,7.0,4.0,57.1
이홍구,KT,2020,0.190,49,84,5,3,0.266,0.321,0.587,0.231,7.3,['포수'],-0.036,230,0.0,0.0,-
김병희,KT,2020,0.143,29,21,4,1,0.136,0.286,0.422,0.0,1.1,"['3루수', '1루수', '2루수']",0.012000000000000002,61,0.0,0.0,-
김민,KT,2020,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
김민수,KT,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
김성훈,KT,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
김재윤,KT,2020,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
김태훈,KT,2020,0.000,2,3,0,0,0.000,0.000,0.000,0.0,-0.3,0,0.0,0,0.0,0.0,-
류희운,KT,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
문상인,KT,2020,0.000,3,2,0,0,0.000,0.000,0.000,0.0,-0.2,['포수'],-0.029,7,0.0,0.0,-
박준혁,KT,2020,0.000,12,2,2,0,0.000,0.000,0.000,0.0,-0.2,['우익수'],-0.036,10,0.0,0.0,-
안현준,KT,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
유원상,KT,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
이대은,KT,2020,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
이보근,KT,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
이상화,KT,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
이창재,KT,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
전유수,KT,2020,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
정주후,KT,2020,0.000,10,1,3,0,0.500,0.000,0.500,0.0,-0.1,['2루수'],-0.05,7,1.0,0.0,0.0
조병욱,KT,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
주권,KT,2020,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
홍현빈,KT,2020,0.000,40,18,5,0,0.217,0.000,0.217,0.0,-0.3,"['좌익수', '중견수', '우익수']",0.07566666666666666,79,1.0,0.0,0.0
손호영,LG,2020,0.367,23,30,9,0,0.387,0.433,0.820,0.5,4.7,"['3루수', '1루수', '2루수']",-0.08333333333333333,69 1/3,5.0,5.0,100
김현수,LG,2020,0.331,142,547,98,22,0.397,0.523,0.920,0.446,106.7,"['좌익수', '1루수']",-0.6085,935 2/3,2.0,0.0,0.0
신민재,LG,2020,0.308,68,26,26,0,0.400,0.346,0.746,0.4,4.4,"['중견수', '2루수']",0.045,90,10.0,8.0,80.0
오지환,LG,2020,0.300,141,527,95,10,0.362,0.461,0.823,0.293,86.9,['유격수'],3.116,1142,28.0,20.0,71.4
박용택,LG,2020,0.300,97,217,22,2,0.339,0.396,0.735,0.328,28.0,0,0.0,0,2.0,2.0,100
이형종,LG,2020,0.296,81,287,41,17,0.368,0.547,0.915,0.288,54.4,"['우익수', '좌익수', '중견수']",-0.0029999999999999936,534,1.0,1.0,100
채은성,LG,2020,0.293,109,416,59,15,0.351,0.452,0.803,0.352,63.9,['우익수'],-0.497,678 1/3,3.0,0.0,0.0
홍창기,LG,2020,0.279,135,408,87,5,0.411,0.417,0.828,0.266,74.3,"['중견수', '우익수', '좌익수']",0.3153333333333334,942 2/3,16.0,11.0,68.8
라모스,LG,2020,0.278,117,431,74,38,0.362,0.592,0.954,0.274,90.3,['1루수'],-0.799,827,2.0,2.0,100
김용의,LG,2020,0.271,101,70,28,1,0.297,0.357,0.654,0.304,7.5,"['1루수', '3루수', '우익수']",0.05319999999999999,214,10.0,7.0,70.0
박재욱,LG,2020,0.267,15,15,0,0,0.313,0.267,0.580,0.333,0.6,['포수'],-0.115,47,0.0,0.0,-
김민성,LG,2020,0.266,87,297,29,5,0.325,0.384,0.709,0.321,36.5,['3루수'],-0.378,640,3.0,2.0,66.7
유강남,LG,2020,0.261,137,429,51,16,0.330,0.415,0.745,0.352,55.0,['포수'],-0.144,1009 2/3,2.0,1.0,50.0
이천웅,LG,2020,0.256,89,312,44,3,0.333,0.333,0.666,0.279,37.9,"['중견수', '우익수']",-0.266,652 2/3,13.0,8.0,61.5
백승현,LG,2020,0.250,27,28,5,0,0.364,0.286,0.650,0.5,3.7,"['3루수', '유격수']",-0.036,111,0.0,0.0,-
정주현,LG,2020,0.247,134,328,50,4,0.312,0.338,0.650,0.253,34.8,['2루수'],0.11,896,15.0,8.0,53.3
양석환,LG,2020,0.246,40,118,8,3,0.315,0.364,0.679,0.313,14.0,"['3루수', '1루수']",-0.07649999999999998,293,0.0,0.0,-
김호은,LG,2020,0.243,69,103,12,2,0.304,0.350,0.654,0.276,10.7,"['1루수', '좌익수']",-0.016,118 1/3,0.0,0.0,-
정근우,LG,2020,0.240,72,154,23,1,0.322,0.286,0.608,0.209,15.6,"['2루수', '1루수']",-0.4675,253,9.0,7.0,77.8
이성우,LG,2020,0.234,72,77,7,3,0.289,0.364,0.653,0.316,7.7,['포수'],-0.111,236,0.0,0.0,-
장준원,LG,2020,0.217,46,60,10,1,0.284,0.317,0.601,0.154,5.5,"['3루수', '유격수', '1루수']",0.05575000000000001,186,0.0,0.0,-
전민수,LG,2020,0.200,4,5,0,0,0.333,0.200,0.533,0.0,0.5,['우익수'],-0.063,8,0.0,0.0,-
구본혁,LG,2020,0.163,125,86,20,1,0.242,0.221,0.463,0.208,4.3,"['3루수', '유격수', '2루수']",0.04933333333333333,381,0.0,0.0,-
이재원,LG,2020,0.050,16,20,1,0,0.136,0.050,0.186,0.0,-0.6,['우익수'],-0.134,43,0.0,0.0,-
김대현,LG,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
남호,LG,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
류원석,LG,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
박지규,LG,2020,-,4,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
백청훈,LG,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
송은범,LG,2020,-,4,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
이우찬,LG,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
이정용,LG,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
이찬혁,LG,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
정우영,LG,2020,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
진해수,LG,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
최동환,LG,2020,-,3,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
최성훈,LG,2020,-,3,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
최재원,LG,2020,0.000,6,6,0,0,0.000,0.000,0.000,0.0,-0.9,['중견수'],0.069,5,0.0,0.0,-
한석현,LG,2020,0.000,9,2,3,0,0.333,0.000,0.333,0.0,0.3,['우익수'],0.049,7 1/3,1.0,1.0,100
이정후,키움,2020,0.349,142,553,85,23,0.421,0.575,0.996,0.387,104.6,0,0.0,0,14.0,12.0,85.7
김혜성,키움,2020,0.318,129,516,81,4,0.373,0.403,0.776,0.295,70.8,0,0.0,0,33.0,25.0,75.8
푸이그,키움,2020,0.277,126,473,65,21,0.367,0.474,0.841,0.268,0.0,0,0.0,0,0.0,0.0,0
임지열,키움,2020,0.275,40,131,16,1,0.331,0.344,0.675,0.306,0.5,0,0.0,0,0.0,0.0,-
김태진,키움,2020,0.268,77,254,37,0,0.315,0.295,0.610,0.211,0.0,0,0.0,0,0.0,0.0,0
이지영,키움,2020,0.267,137,420,38,2,0.303,0.331,0.634,0.262,32.4,0,0.0,0,2.0,1.0,50.0
이명기,키움,2020,0.250,2,4,0,0,0.250,0.250,0.500,0.0,0.0,0,0.0,0,0.0,0.0,0
이재홍,키움,2020,0.250,4,4,0,0,0.250,0.250,0.500,0.0,0.0,0,0.0,0,0.0,0.0,0
송성문,키움,2020,0.247,142,547,67,13,0.302,0.371,0.673,0.269,0.0,0,0.0,0,0.0,0.0,0
김웅빈,키움,2020,0.226,45,115,17,1,0.326,0.313,0.639,0.129,30.8,0,0.0,0,1.0,1.0,100
박주홍,키움,2020,0.224,21,49,4,0,0.333,0.286,0.619,0.111,1.8,0,0.0,0,1.0,0.0,0.0
김휘집,키움,2020,0.222,112,333,40,8,0.326,0.336,0.662,0.177,0.0,0,0.0,0,0.0,0.0,0
박찬혁,키움,2020,0.211,52,161,13,6,0.274,0.354,0.628,0.237,0.0,0,0.0,0,0.0,0.0,0
김재현,키움,2020,0.207,56,82,4,1,0.233,0.293,0.526,0.286,-0.3,0,0.0,0,0.0,0.0,-
전병우,키움,2020,0.203,115,197,14,5,0.288,0.315,0.603,0.103,41.8,0,0.0,0,7.0,7.0,100
김주형,키움,2020,0.200,55,110,16,1,0.305,0.309,0.614,0.0,5.3,0,0.0,0,1.0,0.0,0.0
이용규,키움,2020,0.199,86,271,34,0,0.326,0.221,0.547,0.211,0.0,0,0.0,0,0.0,0.0,0
김준완,키움,2020,0.192,111,317,43,1,0.339,0.246,0.585,0.219,0.0,0,0.0,0,0.0,0.0,0
이병규,키움,2020,0.184,24,38,7,0,0.225,0.263,0.488,0.25,0.0,0,0.0,0,0.0,0.0,0
김수환,키움,2020,0.179,57,140,18,4,0.297,0.307,0.604,0.107,0.3,0,0.0,0,0.0,0.0,-
이주형,키움,2020,0.169,32,71,7,1,0.294,0.211,0.505,0.143,0.0,0,0.0,0,0.0,0.0,0
박준태,키움,2020,0.157,52,70,9,1,0.289,0.257,0.546,0.235,55.2,0,0.0,0,6.0,5.0,83.3
신준우,키움,2020,0.140,76,43,6,0,0.288,0.209,0.497,0.091,0.0,0,0.0,0,0.0,0.0,0
예진원,키움,2020,0.100,20,10,0,0,0.308,0.100,0.408,0.0,0.0,0,0.0,0,0.0,0.0,0
김시앙,키움,2020,0.083,13,12,1,0,0.154,0.083,0.237,0.0,0.0,0,0.0,0,0.0,0.0,0
강민국,키움,2020,0.000,3,3,0,0,0.250,0.000,0.250,0.0,0.0,0,0.0,0,0.0,0.0,0
김성진,키움,2020,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,0
김태훈,키움,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,0
노운현,키움,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,0
박승주,키움,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,0
박주성,키움,2020,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,0
애플러,키움,2020,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,0
하영민,키움,2020,-,3,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,0
강백호,KT,2021,0.347,142,516,76,16,0.450,0.521,0.971,0.34,117.6,"['1루수', '우익수', '포수']",-0.254,1099 2/3,15.0,10.0,66.7
박승욱,KT,2021,0.333,8,6,5,0,0.333,0.500,0.833,0.333,1.0,['2루수'],-0.114,12,1.0,1.0,100
김민혁,KT,2021,0.320,75,172,22,1,0.397,0.395,0.792,0.22,26.8,"['좌익수', '우익수', '중견수']",-0.06799999999999999,244,9.0,6.0,66.7
유한준,KT,2021,0.309,104,282,30,5,0.409,0.418,0.827,0.263,48.0,['우익수'],-0.322,85,1.0,1.0,100
황재균,KT,2021,0.291,117,453,74,10,0.358,0.402,0.760,0.289,65.1,['3루수'],0.366,938 1/3,15.0,11.0,73.3
김병희,KT,2021,0.288,34,52,16,5,0.456,0.635,1.091,0.455,15.5,"['3루수', '2루수', '1루수']",-0.157,152,3.0,3.0,100
천성호,KT,2021,0.286,41,42,13,0,0.362,0.310,0.672,0.25,5.3,"['1루수', '2루수', '3루수']",-0.057999999999999996,90,1.0,1.0,100
허도환,KT,2021,0.276,62,105,8,2,0.339,0.390,0.729,0.393,13.3,['포수'],0.212,290 1/3,0.0,0.0,-
알몬테,KT,2021,0.271,60,225,18,7,0.336,0.404,0.740,0.323,29.3,['좌익수'],-0.396,241,1.0,1.0,100
심우준,KT,2021,0.268,139,407,61,6,0.323,0.371,0.694,0.271,53.4,['유격수'],1.557,1065,22.0,16.0,72.7
배정대,KT,2021,0.259,144,510,85,12,0.353,0.378,0.731,0.22,73.6,['중견수'],0.463,1189 1/3,26.0,19.0,73.1
권동진,KT,2021,0.254,86,67,21,1,0.412,0.373,0.785,0.125,11.5,"['유격수', '2루수', '3루수']",-0.04800000000000001,241 1/3,6.0,3.0,50.0
